label	replace by
FIOCRUZ BELO HORIZONTE	Fiocruz
Fiocruz Belo Horizonte, Belo Horizonte MG, Brazil	Fiocruz
FIOCRUZ BH	Fiocruz
FIOCRUZ BH, Belo Horizonte MG, Brazil	Fiocruz
FIOCRUZ BIOMANGUINHOS	Fiocruz
Fiocruz Biomanguinhos, Rio De Janeiro, Brazil	Fiocruz
Fiocruz Brasilia, Brasilia DF, Brazil	Fiocruz
Fiocruz Brasília, BRAZIL                   	Fiocruz
FIOCRUZ BROTAS	Fiocruz
FIOCRUZ Ceará, BRAZIL	Fiocruz
FIOCRUZ CNPQ	Fiocruz
FIOCRUZ FDN OSWALDO CRUZ	Fiocruz
FioCruz Fdn Oswaldo Cruz, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ FDN	Fiocruz
Fiocruz Fdn, Amazonas, Brazil	Fiocruz
FioCruz Fdn, Rio De Janeiro, Brazil	Fiocruz
Fiocruz Fdn, Salvador BA, Brazil	Fiocruz
FIOCRUZ Fund Osvaldo Cruz, Salvador BA, Brazil	Fiocruz
FioCruz Fund Oswaldo Cruz, Belo Horizonte MG, Brazil	Fiocruz
FioCruz Fund Oswaldo Cruz, Rio De Janeiro RJ, Brazil	Fiocruz
FIOCRUZ Fund Oswaldo Cruz, Rio De Janeiro, Brazil	Fiocruz
FioCruz Fund, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ FUNDACAO OSWALDO CRUZ	Fiocruz
FioCruz Fundacao, Rio De Janeiro RJ, Brazil	Fiocruz
FioCruz FundacaoOswaldoCruz, Rio De Janeiro RJ, Brazil	Fiocruz
FIOCRUZ FUNDACO OSWALDO CRUZ	Fiocruz
FioCruz Fundaco Oswaldo Cruz, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ FUNGAL CULTURE COLLECT	Fiocruz
FIOCRUZ IFF	Fiocruz
Fiocruz Inst, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ IOC	Fiocruz
Fiocruz IOC, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ Lab Epidemiol Rio de Janeiro, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ MANUINHOS	Fiocruz
FIOCRUZ Mato Grosso do Sul, BRAZIL	Fiocruz
FIOCRUZ MG	Fiocruz
Fiocruz MG, Belo Horizonte MG, Brazil	Fiocruz
FIOCRUZ MG, BELO HORIZONTE, BRAZIL	Fiocruz
FIOCRUZ MINAS	Fiocruz
FIOCRUZ Minas, Belo Horizonte MG, Brazil	Fiocruz
FIOCRUZ MS	Fiocruz
FIOCRUZ MS, - RIO JANEIRO, BRAZIL	Fiocruz
FIOCRUZ MS, - SALADOR BA, BRAZIL	Fiocruz
FIOCRUZ MS, - SALVADOR BA, BRAZIL	Fiocruz
Fiocruz MS, Amazonas, Brazil	Fiocruz
Fiocruz MS, Amazonia, Brazil	Fiocruz
FIOCRUZ MS, BELO HORIZON MG, BRAZIL	Fiocruz
FIOCRUZ MS, BELO HORIZON, BRAZIL	Fiocruz
FIOCRUZ MS, BELO HORIZON, BRAZIL	Fiocruz
FIOCRUZ MS, BELO HORIZONT MG, BRAZIL	Fiocruz
Fiocruz MS, Belo Horizonte MG, Brazil	Fiocruz
FIOCRUZ MS, BELO HORIZONTE, BRAZIL	Fiocruz
Fiocruz MS, Brasilia DF, Brazil	Fiocruz
Fiocruz MS, Campo Grande MS, Brazil	Fiocruz
Fiocruz MS, Curitiba PR, Brazil	Fiocruz
Fiocruz MS, Farmanguinhos RJ, Brazil	Fiocruz
Fiocruz MS, Fiocruz RJ, Brazil	Fiocruz
Fiocruz MS, Janeiro RJ, Brazil	Fiocruz
FIOCRUZ MS, LEBLON RJ, BRAZIL	Fiocruz
Fiocruz MS, Manaus, Brazil	Fiocruz
Fiocruz MS, Manguinho RJ, Brazil	Fiocruz
Fiocruz MS, Manguinho, Brazil	Fiocruz
Fiocruz MS, Manguinhos Rio Janeiro, Brazil	Fiocruz
Fiocruz MS, Manguinhos Rj, Brazil	Fiocruz
Fiocruz MS, Minas Gerais, Brazil	Fiocruz
Fiocruz MS, Niteroi RJ, Brazil	Fiocruz
Fiocruz MS, Parana, Brazil	Fiocruz
Fiocruz MS, Pernambuco, Brazil	Fiocruz
Fiocruz MS, Porto Velho RO, Brazil	Fiocruz
Fiocruz MS, Re De Janeiro, Brazil	Fiocruz
Fiocruz MS, Recife PE, Brazil	Fiocruz
FIOCRUZ MS, RECIFE, BRAZIL	Fiocruz
Fiocruz MS, Rio De Janeiro MS, Brazil	Fiocruz
Fiocruz MS, Rio De Janeiro RJ, Brazil	Fiocruz
Fiocruz MS, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ MS, RIO JANEIRO RJ, BRAZIL	Fiocruz
FIOCRUZ MS, RIO JANEIRO, BRAZIL	Fiocruz
Fiocruz MS, Salvador BA, Brazil	Fiocruz
Fiocruz MS, Salvador, Brazil	Fiocruz
Fiocruz MS, Salvador, Brazil	Fiocruz
Fiocruz MS, Seropedica RJ, Brazil	Fiocruz
FIOCRUZ NIT INCQS	Fiocruz
Fiocruz Noroeste Porto Velho, Porto Velho RO, Brazil	Fiocruz
FIOCRUZ OSWALDO CRUZ FDN	Fiocruz
Fiocruz Parana, Parana, Brazil	Fiocruz
FIOCRUZ PE	Fiocruz
FIOCRUZ PE, Recife PE, Brazil	Fiocruz
Fiocruz Pernambuco, Recife PE, Brazil	Fiocruz
Fiocruz PR, Curitiba PR, Brazil	Fiocruz
FIOCRUZ Rio de Janeiro, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ RIO	Fiocruz
FIOCRUZ Rio, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ RJ	Fiocruz
FIOCRUZ RJ, Rio De Janeiro RJ, Brazil	Fiocruz
FIOCRUZ RJ, Rio De Janeiro, Brazil	Fiocruz
FIOCRUZ RO	Fiocruz
FIOCRUZ RO, Porto Velho RO, Brazil	Fiocruz
FIOCRUZ RO, Porto Velho, Brazil	Fiocruz
FIOCRUZ RONDONIA	Fiocruz
FIOCRUZ Rondônia, BRAZIL	Fiocruz
