label	replace by
Oswaldo Cruz Fdn, Rio De Janeiro RJ, Brazil	Fiocruz
Oswaldo Cruz Fdn, Rio De Janeiro, Brazil	Fiocruz
OSWALDO CRUZ FDN, RIO DE JANEIRO, BRAZIL	Fiocruz
Oswaldo Cruz Fdn, Rio De Janeiro, Brazil	Fiocruz
OSWALDO CRUZ FDN, RIO JANEIRO, BRAZIL	Fiocruz
Oswaldo Cruz Fdn, Salvador BA, Brazil	Fiocruz
Oswaldo Cruz Fdn, Salvador, Brazil	Fiocruz
Oswaldo Cruz Fiocruz, Rio De Janeiro, Brazil	Fiocruz
OSWALDO CRUZ FOUDAT FIOCRUZ	Fiocruz
Oswaldo Cruz Foudat Fiocruz, Rio De Janeiro, Brazil	Fiocruz
OSWALDO CRUZ FOUDAT	Fiocruz
Oswaldo Cruz Foudat, Rio De Janeiro, Brazil	Fiocruz
Oswaldo Cruz Fundat, Brasilia DF, Brazil	Fiocruz
Oswaldo Cruz Inst Fiocruz, Rio De Janeiro, Brazil	Fiocruz
Oswaldo Cruz Inst IOC, Rio De Janeiro, Brazil	Fiocruz
OSWALDO CRUZ INST	Fiocruz
OSWALDO CRUZ INST, RIO DE JANEIRO RJ, BRAZIL	Fiocruz
Oswaldo Cruz Inst, Rio De Janeiro, Brazil	Fiocruz
OSWALDO CRUZ INST, RIO JANEIRO, BRAZIL	Fiocruz
OSWALDOCRUZ FDN MS FIOCRUZ	Fiocruz
Oswalo Cruz Fdn, Rio de Janeiro, Brazil	Fiocruz
OSWCRU, RIO JANEIRO, BRAZIL	Fiocruz
PROCC FIOCRUZ	Fiocruz
PROCC FIOCRUZ, Rio De Janeiro RJ, Brazil	Fiocruz
PROCC Fiocruz, Rio De Janeiro, Brazil	Fiocruz
Programa Comp Cient, Rio De Janeiro, Brazil	Fiocruz
Programa Comp Cientif Fiocruz, Rio De Janeiro RJ, Brazil	Fiocruz
Programa Computacao Cient, Rio De Janeiro, Brazil	Fiocruz
Programa Computacao Cientifica Fiocruz, Rio De Janeiro, Brazil	Fiocruz
Publ Hlth Natl Sch ENSP, Rio De Janeiro, Brazil	Fiocruz
Reference Ctr Prof Helio Fraga, Rio De Janeiro, Brazil	Fiocruz
Reference Ctr TB Prof Helio Fraga, Rio De Janeiro, Brazil	Fiocruz
RENE RACHOU RES CTR	Fiocruz
Rene Rachou Res Ctr, Belo Horizonte MG, Brazil	Fiocruz
Rene Rachou Res Ctr, Fiocruz MG, Brazil	Fiocruz
Res Ctr Aggeu Magalhaes CPqAM FIOCRUZ, Recife PE, Brazil	Fiocruz
RES CTR RENE RACHOU FIOCRUZ	Fiocruz
Res Ctr Rene Rachou Fiocruz, Belo Horizonte MG, Brazil	Fiocruz
Rondonia Fiocruz, Porto Velho RO, Brazil	Fiocruz
Sergio Arouca Natl Sch Publ Hlth, Rio De Janeiro, Brazil	Fiocruz
Leonidas & Maria Deane Res Ctr, Amazonas, Brazil	Fiocruz
